"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DESIGNER";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"IO_INTERFACE";"I_SUPPLY_TOTAL_MAX";"LCSC";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MASTER_FCLK";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_7_INSIDE_EDGE";"PIN_0_0_15_INSIDE_EDGE";"POPULARITY";"PREFIX";"PRICE";"PROD_ID";"PURCHASE-URL";"RELEASE_DATE";"RESOLUTION_BITS";"SPICEPREFIX";"TUNING_WORD_WIDTH_BITS";"VALUE";"VAULT_GUID";"VAULT_REVISION";"VERSION";
"1";"";"CONN_04";"1X04";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X1";"1X01";"CAL_INT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C6";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"";"0.1uF";"";"";"";
"3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C4, C8, C12";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"0.1uF";"";"";"";
"2";"100k";"100KOHM-0603-1/10W-1%";"0603";"R5, R6";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"";"";"";"100k";"";"";"";
"2";"10k";"10KOHM-0603-1/10W-1%";"0603";"R9, R10";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"";"10k";"";"";"";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C3";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"";"10nF";"";"";"";
"4";"10uF";"10UF-0603-6.3V-20%";"0603";"C2, C5, C9, C13";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"10uF";"";"";"";
"3";"1k";"1KOHM-0603-1/10W-1%";"0603";"R8, R14, R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"";"1k";"";"";"";
"1";"200k";"200KOHM-0603-1/10W-1%";"0603";"R7";"200kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09385";"";"";"";"";"";"200k";"";"";"";
"2";"20k";"20KOHM-0603-1/10W-1%";"0603";"R3, R4";"20kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09383";"";"";"";"";"";"20k";"";"";"";
"1";"270k";"220KOHM-0603-1/10W-1%";"0603";"R11";"220kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08969";"";"";"";"";"";"220k";"";"";"";
"1";"2K";"R-US_R0603";"R0603";"CAL_RES1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R2";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"";"4.7k";"";"";"";
