Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C1,603,56.5mm,26.0mm,56.5mm,26.0mm,56.5mm,26.0mm,T,270,0.22uF
C2,603,48.0mm,26.0mm,48.0mm,26.0mm,48.0mm,26.0mm,T,270,0.22uF
C3,603,35.8mm,34.4mm,35.8mm,34.4mm,35.8mm,34.4mm,T,270,10pF
C4,603,34.3mm,34.4mm,34.3mm,34.4mm,34.3mm,34.4mm,T,90,10pF
C5,603,35.1mm,31.2mm,35.1mm,31.2mm,35.1mm,31.2mm,T,180,47pF
C6,603,31.5mm,34.4mm,31.5mm,34.4mm,31.5mm,34.4mm,T,270,10pF
C7,603,30.0mm,34.4mm,30.0mm,34.4mm,30.0mm,34.4mm,T,90,10pF
C8,603,30.8mm,31.2mm,30.8mm,31.2mm,30.8mm,31.2mm,T,180,2.2nF
C9,603,30.5mm,38.8mm,30.5mm,38.8mm,30.5mm,38.8mm,T,180,10uF
C10,603,44.0mm,41.5mm,44.0mm,41.5mm,44.0mm,41.5mm,T,0,1.0uF
C11,603,39.0mm,43.5mm,39.0mm,43.5mm,39.0mm,43.5mm,T,0,0.1uF
C12,603,39.0mm,45.0mm,39.0mm,45.0mm,39.0mm,45.0mm,T,0,10uF
C13,603,29.5mm,47.3mm,29.5mm,47.3mm,29.5mm,47.3mm,T,180,0.1uF
C14,603,29.5mm,48.8mm,29.5mm,48.8mm,29.5mm,48.8mm,T,180,10uF
C15,603,34.3mm,48.2mm,34.3mm,48.2mm,34.3mm,48.2mm,T,270,1.0uF
C16,603,41.8mm,49.2mm,41.8mm,49.2mm,41.8mm,49.2mm,T,270,1.0uF
C17,603,29.5mm,43.5mm,29.5mm,43.5mm,29.5mm,43.5mm,T,180,0.1uF
C18,603,29.5mm,41.5mm,29.5mm,41.5mm,29.5mm,41.5mm,T,0,1nF
C19,603,40.5mm,41.5mm,40.5mm,41.5mm,40.5mm,41.5mm,T,180,10uF
C20,603,40.5mm,34.5mm,40.5mm,34.5mm,40.5mm,34.5mm,T,0,10uF
C21,603,29.5mm,45.0mm,29.5mm,45.0mm,29.5mm,45.0mm,T,180,10uF
C22,603,22.5mm,21.0mm,22.5mm,21.0mm,22.5mm,21.0mm,T,270,47nF
C23,603,15.3mm,21.1mm,15.3mm,21.1mm,15.3mm,21.1mm,T,270,47nF
C24,603,29.5mm,21.0mm,29.5mm,21.0mm,29.5mm,21.0mm,T,270,47nF
D1,LED-0603,7.5mm,12.0mm,7.5mm,12.0mm,7.5mm,12.0mm,T,180,RED
D2,ESD7551N2T5G,59.5mm,11.8mm,59.5mm,11.8mm,59.5mm,11.8mm,T,0,ESD7551N2T5G
D3,ESD7551N2T5G,45.5mm,4.5mm,45.5mm,4.5mm,45.5mm,4.5mm,T,180,ESD7551N2T5G
D4,ESD7551N2T5G,28.0mm,4.5mm,28.0mm,4.5mm,28.0mm,4.5mm,T,180,ESD7551N2T5G
D5,ESD7551N2T5G,42.0mm,12.0mm,42.0mm,12.0mm,42.0mm,12.0mm,T,0,ESD7551N2T5G
D6,ESD7551N2T5G,24.5mm,2.5mm,24.5mm,2.5mm,24.5mm,2.5mm,T,180,ESD7551N2T5G
D7,ESD7551N2T5G,24.5mm,11.8mm,24.5mm,11.8mm,24.5mm,11.8mm,T,180,ESD7551N2T5G
D8,ESD7551N2T5G,10.5mm,4.5mm,10.5mm,4.5mm,10.5mm,4.5mm,T,0,ESD7551N2T5G
DRV,CUI_SJ-3523-SMT-TR,52.5mm,3.5mm,52.5mm,3.5mm,52.5mm,3.5mm,T,90,SJ-3523-SMT-TR
ECG,CUI_SJ-3523-SMT-TR,17.5mm,3.5mm,17.5mm,3.5mm,17.5mm,3.5mm,T,90,SJ-3523-SMT-TR
IC1,BGA30C50P6X5_293X274X69,35.0mm,40.0mm,35.0mm,40.0mm,35.0mm,40.0mm,T,180,MAX30001GCWV+
IMPEDANCE,CUI_SJ-3523-SMT-TR,35.0mm,3.5mm,35.0mm,3.5mm,35.0mm,3.5mm,T,90,SJ-3523-SMT-TR
R1,603,21.0mm,21.0mm,21.0mm,21.0mm,21.0mm,21.0mm,T,270,51k
R2,603,13.8mm,21.1mm,13.8mm,21.1mm,13.8mm,21.1mm,T,270,51k
R3,603,28.0mm,21.0mm,28.0mm,21.0mm,28.0mm,21.0mm,T,270,51k
R4,603,40.5mm,37.0mm,40.5mm,37.0mm,40.5mm,37.0mm,T,180,324k
R5,603,49.7mm,57.0mm,49.7mm,57.0mm,49.7mm,57.0mm,T,270,10
R6,603,47.2mm,57.0mm,47.2mm,57.0mm,47.2mm,57.0mm,T,270,10
R7,603,44.6mm,57.0mm,44.6mm,57.0mm,44.6mm,57.0mm,T,270,10
R8,603,42.1mm,57.0mm,42.1mm,57.0mm,42.1mm,57.0mm,T,270,10
R9,603,39.5mm,57.0mm,39.5mm,57.0mm,39.5mm,57.0mm,T,270,10
