AOUT, 43.40, 30.75, 0.00, TEST-POINT3, PAD.03X.03
BIN, 38.25, 16.90, 0.00, TEST-POINT3, PAD.03X.03
BIP, 32.05, 16.30, 0.00, TEST-POINT3, PAD.03X.03
BP_BN, 34.90, 20.60, 0.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
C1, 56.20, 18.35, 270.00, 0.22uF, 0603
C10, 42.95, 28.35, 0.00, 1.0uF, 0603
C11, 40.50, 31.55, 0.00, 0.1uF, 0603
C12, 40.50, 33.10, 0.00, 10uF, 0603
C13, 27.25, 31.75, 180.00, 0.1uF, 0603
C14, 27.25, 33.30, 180.00, 10uF, 0603
C15, 44.00, 32.30, 0.00, 1.0uF, 0603
C16, 49.25, 33.60, 180.00, 1.0uF, 0603
C17, 30.60, 31.75, 180.00, 0.1uF, 0603
C18, 30.50, 28.80, 0.00, 1nF, 0603
C19, 40.50, 30.00, 180.00, 10uF, 0603
C2, 48.75, 17.80, 270.00, 0.22uF, 0603
C20, 40.70, 22.25, 0.00, 10uF, 0603
C21, 30.60, 33.30, 180.00, 10uF, 0603
C22, 22.70, 16.90, 270.00, 47nF, 0603
C23, 15.30, 16.90, 270.00, 47nF, 0603
C24, 29.50, 16.90, 270.00, 47nF, 0603
C3, 36.60, 24.70, 0.00, 10pF, 0603
C4, 33.30, 24.70, 0.00, 10pF, 0603
C5, 34.90, 23.20, 180.00, 47pF, 0603
C6, 31.45, 23.20, 0.00, 10pF, 0603
C7, 28.10, 23.20, 0.00, 10pF, 0603
C8, 29.80, 21.70, 180.00, 2.2nF, 0603
C9, 30.50, 27.25, 180.00, 10uF, 0603
D1, 64.00, 61.50, 270.00, RED, LED-0603
D2, 59.50, 11.75, 0.00, ESD7551N2T5G, ESD7551N2T5G
D3, 45.50, 4.40, 180.00, ESD7551N2T5G, ESD7551N2T5G
D4, 28.00, 4.50, 180.00, ESD7551N2T5G, ESD7551N2T5G
D5, 42.00, 12.00, 0.00, ESD7551N2T5G, ESD7551N2T5G
D6, 24.50, 2.50, 180.00, ESD7551N2T5G, ESD7551N2T5G
D7, 24.45, 11.80, 180.00, ESD7551N2T5G, ESD7551N2T5G
D8, 10.50, 4.50, 0.00, ESD7551N2T5G, ESD7551N2T5G
DRV, 52.50, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
DRVN, 49.95, 17.00, 0.00, TEST-POINT3, PAD.03X.03
DRVP, 57.40, 17.50, 0.00, TEST-POINT3, PAD.03X.03
ECG, 17.50, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
ECGC, 26.50, 15.25, 0.00, ECGC, PAD.03X.03
ECGN, 12.00, 15.25, 0.00, TEST-POINT3, PAD.03X.03
ECGP, 19.45, 15.25, 0.00, TEST-POINT3, PAD.03X.03
EC_UB, 26.00, 16.90, 90.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
EN_UB, 11.85, 16.90, 90.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
EP_EN, 20.40, 20.00, 0.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
EP_UB, 19.25, 16.90, 90.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
FCLK, 25.30, 29.25, 90.00, FCLK, PAD.03X.03
IC1, 35.00, 28.50, 180.00, MAX30001GCWV+, BGA30C50P6X5_293X274X69
IMPEDANCE, 35.00, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
LED_ENABLE, 66.30, 61.50, 180.00, LED ENABLE, SMT-JUMPER_2_NC_PASTE_SILK
P_DWN_ENABLE, 29.89, 62.30, 0.00, JUMPER-SMT_2_NC_PASTE_SILK, SMT-JUMPER_2_NC_PASTE_SILK
P_UP_ENABLE, 29.89, 64.50, 0.00, JUMPER-SMT_2_NC_PASTE_SILK, SMT-JUMPER_2_NC_PASTE_SILK
R1, 21.20, 16.90, 270.00, 51k, 0603
R10, 34.20, 61.45, 270.00, 10, 0603
R11, 38.85, 61.45, 270.00, 100k, 0603
R12, 41.95, 61.45, 270.00, 100k, 0603
R13, 35.75, 61.45, 270.00, 100k, 0603
R14, 48.15, 61.45, 270.00, 100k, 0603
R15, 32.65, 61.48, 270.00, 100k, 0603
R16, 61.00, 61.50, 180.00, 1k, 0603
R17, 45.05, 61.45, 270.00, 100k, 0603
R18, 34.90, 18.75, 0.00, 100, 0603
R19, 37.30, 19.65, 270.00, 0, 0603
R2, 13.80, 16.90, 270.00, 51k, 0603
R20, 32.50, 19.65, 270.00, 0, 0603
R21, 24.20, 18.60, 270.00, 0, 0603
R22, 16.80, 18.60, 270.00, 0, 0603
R23, 31.00, 18.60, 270.00, 0, 0603
R3, 28.00, 16.90, 270.00, 51k, 0603
R4, 40.70, 24.70, 180.00, 324k, 0603
R5, 49.70, 61.45, 270.00, 10, 0603
R6, 46.60, 61.45, 270.00, 10, 0603
R7, 43.50, 61.45, 270.00, 10, 0603
R8, 40.40, 61.45, 270.00, 10, 0603
R9, 37.30, 61.45, 270.00, 10, 0603
RBN, 36.25, 16.90, 0.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
RBP, 33.50, 16.90, 0.00, JUMPER-SMT_2_NO_SILK, SMT-JUMPER_2_NO_SILK
U4, 47.45, 30.95, 180.00, AP2112K-1.8V, SPARKFUN-POWERIC_SOT23-5
