C1, 43.90, 39.90, 90.00, 10uF, 0603
C10, 28.20, 38.84, 90.00, 18pF, 0603
C11, 25.86, 58.23, 180.00, 100nF, 0603
C12, 25.86, 60.54, 180.00, 10uF, 0603
C13, 27.58, 43.88, 180.00, 10uF, 0603
C14, 27.38, 30.37, 180.00, 10uF, 0603
C15, 33.80, 32.90, 270.00, 2.2uF, 0603
C2, 41.70, 35.00, 270.00, 10uF, 0603
C3, 41.70, 39.90, 90.00, 1uF, 0603
C4, 43.90, 35.00, 270.00, 0.1uF, 0603
C5, 29.90, 33.10, 90.00, 10nF, 0603
C6, 35.30, 32.91, 270.00, 2.2uF, 0603
C7, 27.63, 41.79, 180.00, 0.1uF, 0603
C8, 27.38, 32.46, 180.00, 0.1uF, 0603
C9, 28.24, 35.32, 270.00, 18pF, 0603
D1, 63.70, 61.15, 270.00, RED, LED-0603
D4, 41.70, 14.00, 90.00, , SOT323
D6, 37.10, 14.00, 90.00, , SOT323
D7, 33.70, 14.00, 90.00, , SOT323
D8, 28.30, 14.00, 270.00, , SOT323
IC1, 33.00, 38.15, 90.00, AFE4400RHAR, QFN50P600X600X100-41N
L1, 46.60, 40.45, 270.00, LBC3225T100KR, INDC3225X270N
L2, 46.70, 34.50, 90.00, LBC3225T100KR, INDC3225X270N
L3, 26.00, 46.90, 0.00, LBC3225T100KR, INDC3225X270N
L4, 26.00, 27.30, 0.00, LBC3225T100KR, INDC3225X270N
LED_DISABLE, 66.59, 61.15, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
OSC, 25.73, 37.11, 270.00, ABM3-8.000MHZ-D2Y-T, ABM3
R1, 32.30, 32.90, 90.00, 1k, 0603
R10, 36.88, 59.34, 90.00, 10R, 0603
R11, 34.21, 59.27, 90.00, 10R, 0603
R12, 52.05, 59.32, 90.00, 10R, 0603
R13, 31.67, 59.30, 90.00, 10R, 0603
R16, 60.62, 61.15, 180.00, 1k, 0603
R2, 44.52, 59.28, 90.00, 10R, 0603
R3, 29.38, 48.40, 90.00, 10R, 0603
R4, 27.45, 52.55, 270.00, 10k, 0603
R5, 29.26, 59.24, 90.00, 10R, 0603
R6, 47.04, 59.29, 90.00, 10R, 0603
R7, 49.51, 59.33, 90.00, 10R, 0603
R8, 41.96, 59.24, 90.00, 10R, 0603
R9, 39.42, 59.29, 90.00, 10R, 0603
TP2, 29.38, 50.34, 0.00, TEST-POINT3, PAD.03X.03
