"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";"VERSION";
"1";"";"DB9";"DB9";"X2";"DB9 Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"D_ACACSOT323";"SOT323";"D4, D6, D7, D8";"Dual DIODE";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"";"MA12-1";"MA12-1";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"3";"0.1uF";"27PF-0603-50V-5%";"0603";"C4, C7, C8";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"1";"100nF";"27PF-0603-50V-5%";"0603";"C11";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"11";"10R";"1.8MOHM";"0603";"R2, R3, R5, R6, R7, R8, R9, R10, R11, R12, R13";"1.8 MOhms ±5% 0.1W, 1/10W Chip Resistor 0603";"";"";"";"";"";"";"";"";"";"";"";"RES-13994";"1.8M";"";
"1";"10k";"1.8MOHM";"0603";"R4";"1.8 MOhms ±5% 0.1W, 1/10W Chip Resistor 0603";"";"";"";"";"";"";"";"";"";"";"";"RES-13994";"1.8M";"";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C5";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"10nF";"";
"5";"10uF";"27PF-0603-50V-5%";"0603";"C1, C2, C12, C13, C14";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"2";"18pF";"18PF-0603-50V-5%";"0603";"C9, C10";"18pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-08267";"18pF";"";
"2";"1k";"1KOHM-0603-1/10W-1%";"0603";"R1, R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"1k";"";
"1";"1uF";"27PF-0603-50V-5%";"0603";"C3";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"2";"2.2uF";"27PF-0603-50V-5%";"0603";"C6, C15";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"1";"ABM3-8.000MHZ-D2Y-T";"ABM3-8.000MHZ-D2Y-T";"ABM3";"OSC";"MEMS Crystal Oscillator 66.666MHz +/-50ppm 4-Pin SMD Bulk";"MEMS Crystal Oscillator 66.666MHz +/-50ppm 4-Pin SMD Bulk";"";"1.3mm";"ABRACON";"ABM3-8.000MHZ-D2Y-T";"";"815-ABM3-8-D2Y-T";"https://www.mouser.co.uk/ProductDetail/ABRACON/ABM3-8.000MHZ-D2Y-T?qs=ihRgKfnEsN4giUXjc3yS1g%3D%3D";"";"";"";"";"";"";
"1";"AFE4400RHAR";"AFE4400RHAR";"QFN50P600X600X100-41N";"IC1";"Integrated Analog Front End (AFE) for Heart-Rate Monitors and Low-Cost Pulse Oximeters";"Integrated Analog Front End (AFE) for Heart-Rate Monitors and Low-Cost Pulse Oximeters";"";"1mm";"Texas Instruments";"AFE4400RHAR";"";"595-AFE4400RHAR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/AFE4400RHAR?qs=MURVExHfc2zl%2FM9SqCv0pw%3D%3D";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"v01";
"1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"LED_DISABLE";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"LBC3225T100KR";"LBC3225T100KR";"INDC3225X270N";"L1, L2, L3, L4";"TAIYO YUDEN - LBC3225T100KR - INDUCTOR, 10UH, 540MA, 10%, 23MHz";"TAIYO YUDEN - LBC3225T100KR - INDUCTOR, 10UH, 540MA, 10%, 23MHz";"";"2.7mm";"TAIYO YUDEN";"LBC3225T100KR";"";"963-LBC3225T100KR";"https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/LBC3225T100KR?qs=PzICbMaShUfZVMW%252BOICEZw%3D%3D";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"RED";"";
"1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"TP2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
