"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PROD_ID";"VALUE";"VERSION";
"1";"";"CONN_06SILK_FEMALE_PTH";"1X06";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-08437";"";"";
"1";"";"CONN_10"";"1X10";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-11563";"";"";
"1";"";"ES8388ES8388";"ES8388";"J1";"ES8388 PCBArtists Breakout Board";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C3";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";"";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C4";"1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00868";"1.0uF";"";
"2";"10k";"10KOHM-0603-1/10W-1%";"0603";"R2, R3";"10kΩ resistor";"";"";"";"";"";"";"";"RES-00824";"10k";"";
"1";"10uF";"10UF-0603-6.3V-20%";"0603";"C2";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-11015";"10uF";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"RES-07856";"1k";"";
"2";"27pF";"27PF-0603-50V-5%";"0603";"C5, C8";"27pF ceramic capacitors";"";"";"";"";"";"";"";"CAP-09989";"27pF";"";
"2";"300k";"300KOHM-0603-1/10W-1%";"0603";"R4, R8";"300kΩ resistor";"";"";"";"";"";"";"";"RES-10809";"300k";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R5";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";"";
"2";"4.7uF";"4.7UF0603";"0603";"C1, C6";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-08280";"4.7uF";"";
"2";"AMM-2742-T-R";"AMM-2742-T-R";"AMM2742TR";"LS1, LS2";"Microphones MICROPHONE OMNI -42 DB 2VDC 150uA";"Microphones MICROPHONE OMNI -42 DB 2VDC 150uA";"";"0.9mm";"PUI Audio";"AMM-2742-T-R";"665-AMM-2742-T-R";"https://www.mouser.co.uk/ProductDetail/PUI-Audio/AMM-2742-T-R?qs=zhx2xqPtQQyJoGop0O%252BpMA%3D%3D";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"Nobody";"";"";"";"";"";"";"";"v01";
"1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"LED_DISABLE";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"2";"OPA344";"OPA344";"SOT23-5";"U$1, U$2";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"";"";"";"";"";"";"";"IC-08251";"OPA344";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"DIO-00819";"RED";"";
