C1, 44.50, 58.25, 0.00, 10uF, 0603
C2, 44.50, 55.25, 0.00, 0.1uF, 0603
D1, 63.75, 61.25, 270.00, RED, LED-0603
J2, 52.50, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
J3, 35.00, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
J5, 17.50, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
JP1, 38.50, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP10, 30.75, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP2, 41.00, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP3, 43.50, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP4, 46.00, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP5, 33.25, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP6, 35.75, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
JP9, 28.25, 52.00, 90.00, JUMPER-SMT_2_NO_NO-SILK, SMT-JUMPER_2_NO_NO-SILK
LED_DISABLE, 66.00, 61.25, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
R1, 60.00, 19.00, 270.00, 10k, 0603
R16, 60.75, 61.25, 180.00, 1k, 0603
R2, 58.00, 19.00, 270.00, 10k, 0603
R3, 56.00, 19.00, 270.00, 10k, 0603
R4, 38.75, 18.65, 270.00, 10k, 0603
R5, 42.75, 18.65, 270.00, 10k, 0603
R6, 40.75, 18.65, 270.00, 10k, 0603
R7, 21.25, 18.65, 270.00, 10k, 0603
R8, 25.25, 18.65, 270.00, 10k, 0603
R9, 23.25, 18.65, 270.00, 10k, 0603
TP1, 57.00, 22.00, 0.00, TEST-POINT3X5, PAD.03X.05
TP10, 19.50, 16.65, 0.00, TEST-POINT3X5, PAD.03X.05
TP11, 27.50, 19.40, 0.00, TEST-POINT3X5, PAD.03X.05
TP12, 25.25, 16.00, 0.00, TEST-POINT3X5, PAD.03X.05
TP2, 54.50, 16.50, 0.00, TEST-POINT3X5, PAD.03X.05
TP3, 62.50, 20.00, 0.00, TEST-POINT3X5, PAD.03X.05
TP4, 60.50, 16.50, 0.00, TEST-POINT3X5, PAD.03X.05
TP5, 39.75, 22.50, 0.00, TEST-POINT3X5, PAD.03X.05
TP6, 37.00, 16.50, 0.00, TEST-POINT3X5, PAD.03X.05
TP7, 45.00, 19.50, 0.00, TEST-POINT3X5, PAD.03X.05
TP8, 42.75, 15.75, 0.00, TEST-POINT3X5, PAD.03X.05
TP9, 22.25, 22.40, 0.00, TEST-POINT3X5, PAD.03X.05
