"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","0603","9.9mm","15.6mm","9.9mm","15.6mm","9.9mm","15.6mm","T","270.0","0.1uF"
"C2","0603","14.0mm","15.6mm","14.0mm","15.6mm","14.0mm","15.6mm","T","270.0","0.1uF"
"C3","0603","20.7mm","13.7mm","20.7mm","13.7mm","20.7mm","13.7mm","T","180.0","0.1uF"
"C4","0603","20.7mm","15.6mm","20.7mm","15.6mm","20.7mm","15.6mm","T","180.0","0.1uF"
"C5","0603","17.5mm","13.7mm","17.5mm","13.7mm","17.5mm","13.7mm","T","0.0","0.1uF"
"C6","0603","17.5mm","15.6mm","17.5mm","15.6mm","17.5mm","15.6mm","T","0.0","10uF"
"C7","0603","9.9mm","7.3mm","9.9mm","7.3mm","9.9mm","7.3mm","T","270.0","0.1uF"
"C8","0603","14.0mm","7.3mm","14.0mm","7.3mm","14.0mm","7.3mm","T","270.0","0.1uF"
"C9","0603","20.7mm","5.4mm","20.7mm","5.4mm","20.7mm","5.4mm","T","180.0","0.1uF"
"C10","0603","20.7mm","7.3mm","20.7mm","7.3mm","20.7mm","7.3mm","T","180.0","0.1uF"
"C11","0603","17.5mm","7.3mm","17.5mm","7.3mm","17.5mm","7.3mm","T","0.0","0.1uF"
"C12","0603","17.5mm","5.4mm","17.5mm","5.4mm","17.5mm","5.4mm","T","0.0","10uF"
"D1","LED-0603","2.3mm","8.3mm","2.3mm","8.3mm","2.3mm","8.3mm","T","90.0","RED"
"J3","JST04_1MM_RA","5.8mm","25.4mm","5.8mm","25.4mm","5.8mm","25.4mm","T","270.0","I2C"
"J4","JST04_1MM_RA","19.4mm","25.4mm","19.4mm","25.4mm","19.4mm","25.4mm","T","90.0","I2C"
"JP1","SMT-JUMPER_2_NO_NO-SILK","23.6mm","10.7mm","23.6mm","10.7mm","23.6mm","10.7mm","T","270.0","JUMPER-SMT_2_NO_NO-SILK"
"JP2","SMT-JUMPER_2_NC_TRACE_NO-SILK","23.6mm","19.0mm","23.6mm","19.0mm","23.6mm","19.0mm","T","270.0","JUMPER-SMT_2_NC_TRACE_NO-SILK"
"R1","0603","12.4mm","19.4mm","12.4mm","19.4mm","12.4mm","19.4mm","T","90.0","10k"
"R2","0603","9.9mm","19.4mm","9.9mm","19.4mm","9.9mm","19.4mm","T","90.0","10k"
"R3","0603","12.4mm","15.6mm","12.4mm","15.6mm","12.4mm","15.6mm","T","90.0","10k"
"R4","0603","12.4mm","11.1mm","12.4mm","11.1mm","12.4mm","11.1mm","T","90.0","10k"
"R5","0603","9.9mm","11.1mm","9.9mm","11.1mm","9.9mm","11.1mm","T","90.0","10k"
"R6","0603","12.4mm","7.3mm","12.4mm","7.3mm","12.4mm","7.3mm","T","90.0","10k"
"R7","0603","23.6mm","7.9mm","23.6mm","7.9mm","23.6mm","7.9mm","T","270.0","10k"
"R8","0603","23.6mm","16.2mm","23.6mm","16.2mm","23.6mm","16.2mm","T","270.0","10k"
"R16","0603","5.7mm","8.3mm","5.7mm","8.3mm","5.7mm","8.3mm","T","0.0","1k"
"SJ4","SMT-JUMPER_2_NC_TRACE_NO-SILK","2.0mm","6.0mm","2.0mm","6.0mm","2.0mm","6.0mm","T","180.0","LED DISABLE"
"U1","SOP65P490X110-12N","19.1mm","18.7mm","19.1mm","18.7mm","19.1mm","18.7mm","T","180.0","LTC2473IMS#PBF"
"U2","SOP65P490X110-12N","19.1mm","10.5mm","19.1mm","10.5mm","19.1mm","10.5mm","T","180.0","LTC2473IMS#PBF"
