"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"DESIGNER";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";"VERSION";
"1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C2";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";"";
"9";"10k";"10KOHM-0603-1/10W-1%";"0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";"";
"1";"10uF";"10UF-0603-6.3V-20%";"0603";"C1";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"";"";"Nobody";"";"";"";"";"";"";"";"v01";
"1";"IO";"CONN_08"";"1X08";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"CONN-08438";"";"";"";
"1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"LED_DISABLE";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"JP1, JP2, JP3, JP4, JP5, JP6, JP9, JP10";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"DIO-00819";"";"RED";"";
"3";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"J2, J3, J5";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle Check availability";"In Stock";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj-352x-smt-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";" 3.5 mm, Stereo, Right Angle, Surface Mount (SMT), 3 Conductors, 0~1 Internal Switches, Audio Jack Connector ";"";"CUI Devices";"SJ-3523-SMT-TR";"None";"None";"";"https://pricing.snapeda.com/search/part/SJ-3523-SMT-TR/?ref=eda";"";"";
"12";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
